time	error	epoch
2454368.59279	0.00033	-1073
2454396.69576	0.00012	-1052
2454697.79817	0.00009	-827
2454701.81303	0.00018	-824
2454701.81280	0.00022	-824
2454705.82715	0.00029	-821
2454728.57767	0.00042	-804
2454732.59197	0.00050	-801
2454740.62125	0.00035	-795
2454748.65111	0.00007	-789
2454752.66576	0.00069	-786
2455041.72377	0.00018	-570
2455045.73853	0.00008	-567
2455049.75325	0.00007	-564
2455053.76774	0.00009	-561
2455069.82661	0.00029	-549
2455069.82617	0.00038	-549
2455069.82670	0.00028	-549
2455069.82676	0.00031	-549
2455073.84108	0.00029	-546
2455073.84128	0.00026	-546
2455073.84111	0.00023	-546
2455073.84114	0.00018	-546
2455085.88418	0.00086	-537
2455096.59148	0.00022	-529
2455100.60595	0.00012	-526
2455112.64986	0.00039	-517
2455112.65009	0.00033	-517
2455112.65005	0.00031	-517
2455112.65005	0.00049	-517
2455132.72310	0.00041	-502
2455468.61943	0.00046	-251
2455526.16356	0.00008	-208
2455828.60375	0.00041	18
2455832.61815	0.00041	21
2455844.66287	0.00009	30
2456216.69123	0.00006	308
2456288.95622	0.00015	362
2456292.97025	0.00019	365
2456576.67556	0.00005	577
2456924.61561	0.00006	837
